id,split,mean_B4,mean_B3,mean_B2,centroid_dist_to_river_m,centroid_dist_to_river_m,encroachment
236,train,1248.0,1024.5999755859375,781.2000122070312,164.9043168790464,164.9043168790464,0
237,train,1257.5555419921875,1034.111083984375,810.7777709960938,192.25677107881495,192.25677107881495,0
238,test,0.0,0.0,0.0,265.71958297536924,265.71958297536924,0
239,train,0.0,0.0,0.0,313.2327935053667,313.2327935053667,0
240,train,1230.0,1023.0,884.0,259.6556056475529,259.6556056475529,0
241,test,1824.0,1696.0,1598.0,246.76722349561214,246.76722349561214,0
242,test,1466.0,1248.0,1185.0,259.01430833688727,259.01430833688727,0
243,train,1150.0,924.5,756.0,286.26375406619195,286.26375406619195,0
244,train,1042.0,856.0,692.0,312.9670996911091,312.9670996911091,0
245,train,1187.0,953.25,768.75,327.72817322931854,327.72817322931854,0
246,test,1266.0,1030.0,896.0,295.49264275625274,295.49264275625274,0
247,train,1353.5,1131.0,954.0,278.04258755237066,278.04258755237066,0
248,train,1207.0,1056.5,900.5,268.34404917459307,268.34404917459307,0
249,train,1186.0,991.0,830.0,303.7079944704912,303.7079944704912,0
250,test,1154.75,960.75,780.625,206.2713407184477,206.2713407184477,0
251,train,1311.5,1033.75,861.75,229.3090852585041,229.3090852585041,0
252,train,1400.0,1056.0,882.0,231.99796023531616,231.99796023531616,0
253,train,0.0,0.0,0.0,238.38324149466237,238.38324149466237,0
254,train,0.0,0.0,0.0,238.99913660664456,238.99913660664456,0
255,test,1198.0,1009.0,922.0,248.49735610277384,248.49735610277384,0
256,train,1420.0,1184.0,993.0,227.42091901642405,227.42091901642405,0
257,train,1150.25,1051.0,980.5,256.5334423521698,256.5334423521698,0
258,train,1234.0,1033.3333740234375,881.6666870117188,247.11961070393787,247.11961070393787,0
259,train,0.0,0.0,0.0,241.34782517864056,241.34782517864056,0
260,train,1194.0,992.0,836.0,337.1560851420565,337.1560851420565,0
261,train,0.0,0.0,0.0,278.80204755592143,278.80204755592143,0
262,train,1290.0,1108.0,922.0,308.8921836067218,308.8921836067218,0
263,test,0.0,0.0,0.0,352.9391037836251,352.9391037836251,0
264,test,0.0,0.0,0.0,350.778861317743,350.778861317743,0
265,train,1562.0,1318.0,1152.0,317.06916573092366,317.06916573092366,0
266,train,1263.3333740234375,1078.0,937.3333129882812,291.19294544584983,291.19294544584983,0
267,train,1338.0,1096.0,988.0,302.57450716530633,302.57450716530633,0
268,train,0.0,0.0,0.0,342.990784038351,342.990784038351,0
269,train,0.0,0.0,0.0,323.012710204421,323.012710204421,0
270,test,0.0,0.0,0.0,281.8453832524249,281.8453832524249,0
271,train,1322.0,1106.0,956.0,262.97156100962917,262.97156100962917,0
272,train,1324.0,1126.0,925.0,238.8556555351921,238.8556555351921,0
273,test,1368.0,1150.0,987.0,256.3728150369996,256.3728150369996,0
274,train,0.0,0.0,0.0,255.47282412692164,255.47282412692164,0
275,test,1161.3333740234375,964.3333129882812,815.3333129882812,264.47213658094455,264.47213658094455,0
276,train,1057.0,931.5,833.5,251.84726709721198,251.84726709721198,0
277,train,1236.0,1010.3333129882812,864.3333129882812,284.93098984843476,284.93098984843476,0
278,train,1262.0,985.0,836.0,273.4127540682188,273.4127540682188,0
279,test,1232.0,1032.0,879.0,284.50160694647343,284.50160694647343,0
280,train,0.0,0.0,0.0,353.95472870139804,353.95472870139804,0
281,train,1178.0,1030.0,889.0,303.1612592466198,303.1612592466198,0
